ID,Parent_SMILES,Value
109,CN(CC1)CCN1C(CC1)CCN1C(Nc1nccc(Oc(cc2)cc(F)c2NC(C2(CC2)C(Nc(cc2)ccc2F)=O)=O)c1)=O,5.586237416
110,CC(C)(c1cccc(C(Nc2cc(Nc(cc3)cc4c3N=CN(C)C4=O)c(C)cc2)=O)c1)C#N,1
111,CC(N(CC1)CCN1c(cc1)cc(OC)c1Nc1nc(Nc2cc(NC(C=C)=O)ccc2)c(C(F)(F)F)cn1)=O,7.812579365
112,COc(cc1c(Nc2cccc(Br)c2)ncnc1c1)c1OC,5.35543353
113,C=CC(N(CCC1)C[C@H]1N(c(ncnc1N)c1N1c(cc2)ccc2Oc2ccccc2)C1=O)=O,8.698970004
114,CN(CC1)CCN1c(cc1)ccc1C(Nc1n[nH]c(C2)c1CN2C([C@@H](c1ccccc1)OC)=O)=O,6.867329086
115,CC(C)(C)NS(c1cc(Nc2nc(Nc(cc3)ccc3N3CCN(C)CC3)ncc2C)ccc1)(=O)=O,6.59561144
116,C[C@H](C1)N[C@@H](C)CN1c(cc1)ccc1C(Nc1n[nH]c(CCc2cc(OC)cc(OC)c2)c1)=O,5.631282468
117,CCOC(C=CN1c(cc2)ccc2F)=C(C(Nc(cc2)cc(F)c2Oc2ccnc(N)c2Cl)=O)C1=O,5.592051233
118,COc1cc2ncnc(Nc3cc(C#C)ccc3)c2cc1OCCCCCCC(NO)=O,5.317138349
119,CNC(c(cccc1)c1Nc(nc(Nc(ccc(N1CCOCC1)c1)c1OC)nc1)c1Cl)=O,6.354779501
120,COc1cccc(F)c1C1=NCc2cnc(Nc(cc3)cc(OC)c3C(O)=O)nc2-c(cc2)c1cc2Cl,5.89748779
121,CN(CC1)CCN1c(cc1)cc(NC2CCOCC2)c1C(Nc1n[nH]c2c1cc(Cc1cc(F)cc(F)c1)cc2)=O,7.843555867
122,CN(CC1)CCN1c(cc1)cc2c1[nH]c(-c(c(N)c1c(F)cccc1n1)c1O)n2,5.857361587
123,Cc1c(C)[nH]c(c(C(N)=O)c2)c1c(N(CCC1)C[C@H]1NC(C#CC)=O)c2F,8.698970004
124,OC(c(cc1)ccc1Nc1ncc(CN=C(c2c-3ccc(Cl)c2)c(c(F)ccc2)c2F)c3n1)=O,5.046607895
125,COc(cc(c1c2)ncnc1Nc(c(F)c1Cl)ccc1Cl)c2OC(CC1)CCN1C(C=C)=O,8.698970004
126,CCOc(cc(c1c2)ncc(C#N)c1Nc(cc1)cc(Cl)c1F)c2NC(/C=C/CN(C)C)=O,6.924805421
